"nstorm","worry","nevac","prepared","homeloc","nyear","gender","income","politics","age","zone","lat","long"
2,5,0,2,3,40,2,4,4,66,"A",41.31543,-72.308241
4,3,0,2,3,60,2,2,2,62,"A",41.317124,-72.104763
6,7,0,3,3,NA,2,NA,NA,66,"A",41.250951,-72.8711849999999
1,1,0,2,1,40,1,6,1,90,"A",41.265805,-72.8249689999999
0,4,0,NA,2,0,1,5,3,74,"A",41.2914249999999,-72.7908359999999
4,6,0,4,2,87,2,2,3,87,"A",41.343539,-71.8420059999999
2,4,1,3,3,10,1,6,3,46,"A",41.101731,-73.3828309999999
4,5,0,3,2,60,1,5,4,73,"A",41.2459119999999,-72.877547
2,3,0,4,2,15,2,3,3,58,"A",41.287449,-72.809318
2,5,2,3,1,3,2,4,3,64,"A",41.2481379999999,-72.861637
2,5,1,3,3,15,2,3,2,27,"A",41.3118219999999,-72.88114
2,6,0,4,3,49,2,3,4,83,"A",41.217256,-73.02299
2,6,2,4,1,33,1,4,4,72,"A",41.208471,-73.0242389999999
4,7,0,2,2,40,1,5,2,69,"A",41.269004,-72.802071
2,3,0,4,2,60,2,2,4,68,"A",41.279573,-72.589471
4,2,0,2,2,70,1,4,3,71,"A",41.3241719999999,-72.137977
2,1,0,2,3,40,1,2,4,65,"A",41.2608999999999,-72.9451669999999
3,3,0,3,2,24,1,4,2,81,"A",41.265521,-72.8250249999999
2,1,1,1,3,30,2,4,3,63,"A",41.16587,-73.222806
3,3,2,3,1,5,1,6,3,36,"A",41.143878,-73.243661
2,7,0,2,3,10,2,5,3,40,"A",41.244909,-72.995182
1,5,1,3,3,20,2,3,NA,67,"A",41.0877709999999,-73.414541
2,1,0,3,3,60,1,3,4,73,"A",41.099572,-73.4077249999999
